Date,USD
16-Aug-16,66.87000051
17-Aug-16,66.89300137
18-Aug-16,66.82999918
19-Aug-16,67.13700165
22-Aug-16,67.20199778
23-Aug-16,67.12199994
24-Aug-16,67.16699811
25-Aug-16,67.01599873
26-Aug-16,67.13600102
29-Aug-16,67.11299943
30-Aug-16,67.14399782
31-Aug-16,66.97300117
01-Sep-16,66.80099902
02-Sep-16,66.79500213
05-Sep-16,66.46999966
06-Sep-16,66.279998
07-Sep-16,66.4780021
08-Sep-16,66.63100131
09-Sep-16,66.89500161
12-Sep-16,66.73800069
13-Sep-16,67.13999918
14-Sep-16,66.79800044
15-Sep-16,66.85999904
16-Sep-16,67.07500139
19-Sep-16,66.9799991
20-Sep-16,66.98500172
21-Sep-16,66.74400072
22-Sep-16,66.63299923
23-Sep-16,66.70700217
26-Sep-16,66.61299879
27-Sep-16,66.42499923
28-Sep-16,66.34900092
29-Sep-16,66.81200058
30-Sep-16,66.55600178
03-Oct-16,66.54600102
04-Oct-16,66.60900103
05-Oct-16,66.57200128
06-Oct-16,66.69700046
07-Oct-16,66.60200056
10-Oct-16,66.49200105
11-Oct-16,66.83400118
12-Oct-16,66.81200058
13-Oct-16,66.79399829
14-Oct-16,66.71699797
17-Oct-16,66.78900186
18-Oct-16,66.73299927
19-Oct-16,66.64499816
20-Oct-16,66.82999918
21-Oct-16,66.92600046
24-Oct-16,66.84500021
25-Oct-16,66.80600172
26-Oct-16,66.86299872
27-Oct-16,66.88099797
28-Oct-16,66.77799895
01-Nov-16,66.69599957
02-Nov-16,66.76199835
03-Nov-16,66.66800003
04-Nov-16,66.79600154
07-Nov-16,66.7449986
08-Nov-16,66.24600015
09-Nov-16,66.51499917
10-Nov-16,66.86500163
11-Nov-16,67.56500192
14-Nov-16,67.7850017
15-Nov-16,67.78599879
16-Nov-16,67.99899824
17-Nov-16,68.02299994
18-Nov-16,68.19099917
21-Nov-16,68.22800079
22-Nov-16,68.39600026
23-Nov-16,68.78399864
24-Nov-16,68.76099832
25-Nov-16,68.51900018
28-Nov-16,68.57900126
29-Nov-16,68.6149987
30-Nov-16,68.59800226
01-Dec-16,68.23599912
02-Dec-16,68.03100118
05-Dec-16,68.02499892
06-Dec-16,67.74199864
07-Dec-16,67.43800003
08-Dec-16,67.54599849
09-Dec-16,67.47000048
12-Dec-16,67.43100156
13-Dec-16,67.41100096
14-Dec-16,67.47499916
15-Dec-16,67.8570006
16-Dec-16,67.85500227
19-Dec-16,67.84399978
20-Dec-16,67.91700054
21-Dec-16,67.83699963
22-Dec-16,67.84799985
23-Dec-16,67.83699963
26-Dec-16,67.76000139
27-Dec-16,67.97799851
28-Dec-16,68.23300069
29-Dec-16,67.93499952
30-Dec-16,67.9549983
02-Jan-17,68.14499975
03-Jan-17,68.2600007
04-Jan-17,67.88599877
05-Jan-17,67.74299905
06-Jan-17,68.11500046
09-Jan-17,68.09999913
10-Jan-17,68.32699908
11-Jan-17,68.31200223
12-Jan-17,68.14100172
13-Jan-17,68.17999902
16-Jan-17,68.10299979
17-Jan-17,67.86200153
18-Jan-17,68.21999968
19-Jan-17,68.09999913
20-Jan-17,68.07500231
23-Jan-17,68.05100096
24-Jan-17,68.13799771
25-Jan-17,67.98799985
27-Jan-17,68.10499884
01-Feb-17,67.41500013
02-Feb-17,67.21000128
03-Feb-17,67.18400139
06-Feb-17,67.19499854
07-Feb-17,67.34999976
08-Feb-17,67.05000046
09-Feb-17,66.76499816
10-Feb-17,66.85400049
13-Feb-17,66.97500171
14-Feb-17,66.83500176
15-Feb-17,66.87500013
16-Feb-17,67.08000021
17-Feb-17,67.08000021
20-Feb-17,66.90500012
21-Feb-17,66.98500172
22-Feb-17,66.94999906
23-Feb-17,66.68999927
24-Feb-17,66.64499816
27-Feb-17,66.69999888
28-Feb-17,66.72500211
01-Mar-17,66.86500163
02-Mar-17,66.78500078
03-Mar-17,66.78000123
06-Mar-17,66.67500104
07-Mar-17,66.62499939
08-Mar-17,66.76499816
09-Mar-17,66.68999927
10-Mar-17,66.55500069
13-Mar-17,66.180001
14-Mar-17,65.77499886
15-Mar-17,65.63000142
16-Mar-17,65.38499864
17-Mar-17,65.47499984
20-Mar-17,65.34499872
21-Mar-17,65.34499872
22-Mar-17,65.45499864
23-Mar-17,65.45499864
24-Mar-17,65.42500048
27-Mar-17,64.99499961
28-Mar-17,65.04499943
29-Mar-17,64.87500079
30-Mar-17,64.86000001
31-Mar-17,64.86000001
03-Apr-17,64.98500211
04-Apr-17,65.07999894
05-Apr-17,64.87500079
06-Apr-17,64.60599806
07-Apr-17,64.26999981
10-Apr-17,64.6050005
11-Apr-17,64.55499947
12-Apr-17,64.68999906
13-Apr-17,64.44499839
17-Apr-17,64.47999943
18-Apr-17,64.6050005
19-Apr-17,64.66500038
20-Apr-17,64.62000047
21-Apr-17,64.65000041
24-Apr-17,64.49000018
25-Apr-17,64.32999952
26-Apr-17,64.13000023
27-Apr-17,64.11500077
28-Apr-17,64.2899983
01-May-17,64.25500085
02-May-17,64.16500158
03-May-17,64.16500158
04-May-17,64.21499798
05-May-17,64.3150015
08-May-17,64.35999998
09-May-17,64.67999894
10-May-17,64.61499832
11-May-17,64.40499924
12-May-17,64.24300095
15-May-17,64.06499984
16-May-17,64.0450016
17-May-17,64.13000023
18-May-17,64.88000119
19-May-17,64.56499849
22-May-17,64.5099985
23-May-17,64.89499859
24-May-17,64.76999817
25-May-17,64.55499947
26-May-17,64.5099985
29-May-17,64.5400005
30-May-17,64.63499905
31-May-17,64.5099985
01-Jun-17,64.47799966
02-Jun-17,64.41500164
05-Jun-17,64.3499981
06-Jun-17,64.43000067
07-Jun-17,64.43499913
08-Jun-17,64.25000138
09-Jun-17,64.24499856
12-Jun-17,64.47999943
13-Jun-17,64.34500039
14-Jun-17,64.23499938
15-Jun-17,64.56499849
16-Jun-17,64.46500205
19-Jun-17,64.49499964
20-Jun-17,64.5400005
21-Jun-17,64.5300009
22-Jun-17,64.6050005
23-Jun-17,64.50500088
26-Jun-17,64.43499913
27-Jun-17,64.47499814
28-Jun-17,64.52500018
29-Jun-17,64.65999962
30-Jun-17,64.62000047
03-Jul-17,64.84500196
04-Jul-17,64.78999845
05-Jul-17,64.79999902
06-Jul-17,64.72499869
07-Jul-17,64.62499922
10-Jul-17,64.47499814
11-Jul-17,64.56499849
12-Jul-17,64.47499814
13-Jul-17,64.45999893
14-Jul-17,64.42399856
17-Jul-17,64.34500039
18-Jul-17,64.31599839
19-Jul-17,64.26999981
20-Jul-17,64.37499827
21-Jul-17,64.38499963
24-Jul-17,64.39499996
25-Jul-17,64.38499963
26-Jul-17,64.35500072
27-Jul-17,64.12499963
28-Jul-17,64.11500077
01-Aug-17,64.09500007
02-Aug-17,63.63500185
03-Aug-17,63.70499998
04-Aug-17,63.67499873
07-Aug-17,63.84000163
08-Aug-17,63.69199976
09-Aug-17,63.85999845
10-Aug-17,64.09500007
11-Aug-17,64.13999966
14-Aug-17,64.09000082
16-Aug-17,64.17000019
17-Aug-17,64.17000019
18-Aug-17,64.09500007
21-Aug-17,64.1099984
22-Aug-17,64.07199847
23-Aug-17,64.0450016
24-Aug-17,64.0450016
25-Aug-17,64.00500161
28-Aug-17,63.90499934
29-Aug-17,64.01499897
30-Aug-17,63.98999913
31-Aug-17,63.93500112
01-Sep-17,64.02499946
04-Sep-17,64.04000195
05-Sep-17,64.10500091
06-Sep-17,64.06000116
07-Sep-17,64.01499897
08-Sep-17,63.78500066
11-Sep-17,63.93500112
12-Sep-17,64.03100125
13-Sep-17,64.0099999
14-Sep-17,64.12300125
15-Sep-17,64.1099984
18-Sep-17,64.15799908
19-Sep-17,64.29999807
20-Sep-17,64.29299914
21-Sep-17,64.80999847
22-Sep-17,64.79499834
25-Sep-17,65.12699928
26-Sep-17,65.45999887
27-Sep-17,65.71499957
28-Sep-17,65.47000161
29-Sep-17,65.30999946
03-Oct-17,65.4849986
04-Oct-17,65.03000029
05-Oct-17,65.14500105
06-Oct-17,65.39999948
